Date,ConfirmedCovidCases,Max Daily Temp
2020/08/02 00:00:00+00,53,18.2
2020/08/03 00:00:00+00,46,18.3
2020/08/04 00:00:00+00,45,23.3
2020/08/05 00:00:00+00,50,21.9
2020/08/06 00:00:00+00,69,20.5
2020/08/07 00:00:00+00,98,24
2020/08/08 00:00:00+00,174,18.9
2020/08/09 00:00:00+00,68,17.5
2020/08/10 00:00:00+00,57,16.6
2020/08/11 00:00:00+00,35,18.8
2020/08/12 00:00:00+00,40,21.9
2020/08/13 00:00:00+00,92,20.9
2020/08/14 00:00:00+00,67,19.3
2020/08/15 00:00:00+00,200,19.6
2020/08/16 00:00:00+00,66,15.8
2020/08/17 00:00:00+00,56,15.6
2020/08/18 00:00:00+00,190,21.3
2020/08/19 00:00:00+00,54,16.9
2020/08/20 00:00:00+00,136,20.3
2020/08/21 00:00:00+00,79,19.6
2020/08/22 00:00:00+00,156,17
2020/08/23 00:00:00+00,61,17.9
2020/08/24 00:00:00+00,147,17
2020/08/25 00:00:00+00,92,18
2020/08/26 00:00:00+00,164,19.4
2020/08/27 00:00:00+00,93,14.8
2020/08/28 00:00:00+00,127,15.1
2020/08/29 00:00:00+00,142,14.6
2020/08/30 00:00:00+00,42,16
2020/08/31 00:00:00+00,53,18.3
2020/09/01 00:00:00+00,217,20.1
2020/09/02 00:00:00+00,89,21.7
2020/09/03 00:00:00+00,95,18
2020/09/04 00:00:00+00,98,16.5
2020/09/05 00:00:00+00,231,15.8
2020/09/06 00:00:00+00,138,18.3
2020/09/07 00:00:00+00,102,17.9
2020/09/08 00:00:00+00,307,21.9
2020/09/09 00:00:00+00,84,17.2
2020/09/10 00:00:00+00,196,14.6
2020/09/11 00:00:00+00,211,15.4
2020/09/12 00:00:00+00,159,16.8
2020/09/13 00:00:00+00,255,22
2020/09/14 00:00:00+00,208,22.4
2020/09/15 00:00:00+00,357,22.7
2020/09/16 00:00:00+00,254,19
2020/09/17 00:00:00+00,240,18.6
2020/09/18 00:00:00+00,253,15.1
2020/09/19 00:00:00+00,274,13.9
2020/09/20 00:00:00+00,396,14.7
2020/09/21 00:00:00+00,188,18.6
2020/09/22 00:00:00+00,334,17.2
2020/09/23 00:00:00+00,234,13.3
2020/09/24 00:00:00+00,324,11
2020/09/25 00:00:00+00,326,12.4
2020/09/26 00:00:00+00,248,13.1
2020/09/27 00:00:00+00,430,14.3
2020/09/28 00:00:00+00,390,17.3
2020/09/29 00:00:00+00,363,15.5
2020/09/30 00:00:00+00,429,14.6
2020/10/01 00:00:00+00,442,12.3
2020/10/02 00:00:00+00,470,12.7
2020/10/03 00:00:00+00,613,11.8
2020/10/04 00:00:00+00,364,11.6
2020/10/05 00:00:00+00,518,13.1
2020/10/06 00:00:00+00,432,14.1
2020/10/07 00:00:00+00,611,13.3
